category1,category2,product,price
筆記型電腦及週邊,筆記型電腦/筆電高興價,Lenovo Ideapad L340-15IWL 81LG0087TW 白金灰/i5-8265U/MX230 2G/4G/1TB/15吋FHD/W10/2年保,"$17,490"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI GS75 Stealth 9SD-421TW 微星4邊窄邊框超輕薄電競筆電/i7-9750H/GTX1660Ti 6G/16G/512GB PCIe/17.3吋FHD 144Hz/W10-PRO/SS單鍵RGB電競鍵盤/含MSI原廠電競後背包及電競滑鼠,"$48,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI GT75 Titan 9SG-400TW 微星龍魂旗艦款電競筆電 4K版/i9-9980HK/RTX2080 8G/32G/1TB+1TB PCIe/17.3吋 UHD/W10/RGB機械式電競鍵盤/含MSI原廠電競後背包及電競滑鼠,"$103,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI GT75 Titan 9SF-401TW 微星龍魂旗艦款電競筆電/i7-9750H/RTX2070 8G/32G/1TB+1TB PCIe/17.3吋 FHD 144Hz/W10-PRO/RGB機械式電競鍵盤/含MSI原廠電競後背包及電競滑鼠,"$78,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS GX701GXR-0021A9750H 華碩西風之神S超薄電競筆電/i7-9750H/RTX2080 8G/32G/1TB PCIE/17.3吋FHD 144Hz 3ms IPS/W10/單鍵RGB電競鍵盤/含ROG電競滑鼠+電競後背包+FHD 1080P@60FPS External Camera,"$89,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS TUF Gaming FX505DD-0111B3750H 戰斧黑 華碩薄邊框軍規電競筆電/R7-3750H/GTX1050 3G/8G/1TB/15.6吋FHD/W10/含ASUS TUF 電競滑鼠及TUF電競後背包,"$24,490"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS TUF Gaming FX705DD-0021B3750H 戰斧黑 華碩薄邊框軍規電競筆電/R7-3750H/GTX1050 3G/8G/1TB+128G PCIe/17.3吋FHD/W10/含ASUS TUF 電競滑鼠+TUF 電競後背包【福利品出清】,"$24,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,技嘉 GIGABYTE AERO 15 Classic-XA-4K732GE10P 電競筆電/i7-9750H/RTX 2070 8G/32GB/1TB PCIe/15.6吋4K UHD/W10Pro/RGB單點背光鍵盤/含原廠電競後背包及電競滑鼠/台灣製造,"$83,999"
筆記型電腦及週邊,筆記型電腦/筆電高興價,技嘉 GIGABYTE AERO 15 Classic-YA-2K732GE10P 電競筆電/i7-9750H/RTX 2080 8G/32GB/1TB PCIe/15.6吋FHD/W10Pro/RGB單點背光鍵盤/含原廠電競後背包及電競滑鼠/台灣製造,"$99,999"
筆記型電腦及週邊,筆記型電腦/筆電高興價,技嘉 GIGABYTE AERO 15 Classic-SA-2K716GE5P 電競筆電/i7-9750H/GTX 1660Ti 6G/16GB/512G PCIe/15.6吋FHD/W10Pro/RGB單點背光鍵盤/含原廠電競後背包及電競滑鼠/台灣製造,"$47,999"
筆記型電腦及週邊,筆記型電腦/筆電高興價,技嘉 GIGABYTE AORUS 15-XA-2K716GE5 旗艦電競筆電/i7-9750H/RTX2070 8G/16G/512 PCIe/15.6吋FHD/W10/RGB Fusion 單點全彩背光鍵盤,"$65,999"
筆記型電腦及週邊,筆記型電腦/筆電高興價,AVITA LIBER 太空灰鋁合金版纖薄型筆電/N5000/4G/256G SSD/14吋FHD IPS/W10/LAPTOP-AVITA-018-01,"$13,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,AVITA LIBER 天使藍鋁合金版纖薄型筆電/N5000/4G/256G SSD/14吋FHD IPS/W10【福利品出清】,"$9,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,AVITA LIBER 香檳金鋁合金版纖薄型筆電/N5000/4G/256G SSD/14吋FHD IPS/W10/LAPTOP-AVITA-018-05,"$13,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,AVITA LIBER 型酷黑鋁合金版纖薄型筆電/N5000/4G/256G SSD/14吋FHD IPS/W10,"$13,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,AVITA LIBER 都市紅鋁合金版纖薄型筆電/N5000/4G/256G SSD/14吋FHD IPS/W10/LAPTOP-AVITA-018-14,"$13,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI P65 Creator 8SF-235TW 微星纖薄創作者筆電/i7-8750H/RTX2070 8G/16G/512G PCIe/15.6吋 FHD 144Hz/W10/白色背光鍵盤,"$54,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS VivoBook S403FA-0162S8265U 冰河藍 華碩軍規級金屬版輕薄筆電/i5-8265U/8G/512G PCIe/14吋FHD/W10/含華碩原廠包包及滑鼠【福利品出清】,"$23,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS VivoBook S403FA-0132C8265U 玫瑰金 華碩軍規級金屬版輕薄筆電/i5-8265U/8G/512G PCIe/14吋FHD/W10/含華碩原廠包包及滑鼠【福利品出清】,"$23,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS ZenBook UX430UN-0291D8250U 璀璨金 華碩輕薄筆電/i5-8250U/MX150 2G/8G/512G SSD/14吋FHD/W10/含ASUS原廠保護袋,"$25,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS E203MA-0101EN4000 櫻花粉 華碩迷你筆電/N4000/4G/64G/11.6吋/1年保/W10-S/含OFFICE365 個人一年版,"$7,990"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS E203MA-0091AN4000 珍珠白 華碩迷你筆電/N4000/4G/64G/11.6吋/1年保/W10-S/含OFFICE365 個人一年版,"$7,990"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P5440FA-0561A8265U 華碩鎂合金輕盈商用筆電/i5-8265U/8G/1TB+256G SSD/14吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$35,980"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P5440FA-0571A8565U 華碩鎂合金輕盈商用筆電/i7-8565U/8G/512G PCIe/14吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$39,800"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P5440FF-0241A8265U 華碩鎂合金輕盈商用筆電/i5-8265U/MX130 2G/8G/256G PCIe/14吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$35,980"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P5440FF-0251A8565U 華碩鎂合金輕盈商用筆電/i7-8565U/MX130 2G/8G/512G PCIe/14吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$42,880"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P5440FF-0241A8265U 鎂合金輕盈商用筆電/i5-8265U/MX130 2G/8G/256G PCIe/14吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠【福利品出清】,"$27,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P3540FA-0091A8265U 華碩長效型商用筆電/i5-8265U/8G/1TB+256G SSD/15.6吋FHD/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$32,800"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUSPRO P3540FA-0061A8265U 華碩長效型商用筆電/i5-8265U/8G/256G SSD/15.6吋FHD IPS/W10-PRO/3年保/含華碩原廠包包及滑鼠,"$33,980"
